id,is_iceberg
5941774d,0.647852003574371
4023181e,0.286272972822189
b20200e4,0.000840631371830
e7f018bb,0.957381010055542
4371c8c3,0.169227033853531
a8d9b1fd,0.319900572299957
29e7727e,0.431335628032684
92a51ffb,0.981275796890259
c769ac97,0.387891709804535
aee0547d,0.003209831658751
565b28ac,0.000475776556414
e04e9775,0.417903482913971
8e8161d1,0.109191410243511
4cf4d256,0.560739338397980
139e5324,0.012973835691810
f156976f,0.223197937011719
68a117cc,0.014508821070194
d9aa7a56,0.054671116173267
9005b143,0.001303379540332
5f6d3988,0.625432848930359
9ad70954,0.284598380327225
b9087b9e,0.718021631240845
a39a1427,0.061308845877647
82fbe8ed,0.410609275102615
1fae4879,0.000021570926037
6dd8f13d,0.000062352177338
bbad5958,0.200203835964203
54527583,0.192284494638443
be8fa29c,0.344634026288986
81a3328f,0.959119200706482
1a3c0ab3,0.001131278695539
4deeeb8b,0.658541917800903
ac6d5632,0.252659380435944
472dadb5,0.030288515612483
96093f95,0.737724959850311
f5b4e3df,0.955693244934082
e01a3c92,0.263325661420822
001680af,0.377307087182999
8e639f33,0.815082311630249
a2c16612,0.679358720779419
a6d76474,0.000038121859689
19c47684,0.443512946367264
015827b6,0.001218969817273
7df7f7ce,0.121819667518139
0bbf1a3f,0.425278842449188
636cfbb7,0.781078517436981
7370030a,0.978639721870422
43aa97ad,0.001206719549373
ba2b5e63,0.996125757694244
dfdd335b,0.597846746444702
e79b13dc,0.003856933442876
dc32b195,0.238642126321793
6d868590,0.878995537757874
75fa59aa,0.174545034766197
ffe50836,0.009456014260650
a7bfd784,0.851205468177795
b3d569e3,0.007467977702618
6c538c5b,0.344610422849655
5c7c15f4,0.004542061127722
0b745139,0.117510460317135
fd14608e,0.053981348872185
f0bc8305,0.026023389771581
a10ccb28,0.989437580108643
543304c7,0.188050806522369
6c3a4078,0.006693262606859
9b73cc75,0.617520630359650
5c6c71b1,0.055433414876461
09ee9186,0.049744654446840
207c35cf,0.425031960010529
153c813e,0.008433607406914
5605d58b,0.447366446256638
642ca396,0.149917140603065
d32d72c0,0.325150966644287
16646a17,0.924008369445801
384074af,0.001321501797065
69bf1e8c,0.229968637228012
9e90a054,0.038080651313066
